,,,,,,,,,,,,,,,,,,,,,,,,
연번,"광역자치
단체명","기초자치
단체명",축제명,축제유형,개최기간,개최장소,개최방식,"최초
개최년도(년)",합계 예산(백만원),국비 예산(백만원),지방비 예산(백만원),"기타
(민간, 자부담 등) 예산(백만원)",방문객수(2023년) 합계,방문객수(2023년) 내국인(명),방문객수(2023년) 외국인(명),전담조직명,조직형태,설립근거,국비 지원 부처명,축제 담당자 기관명,축제 담당자 부서명,축제 담당자 직급/직책,축제 담당자 성명,축제 담당자 연락처
1,서울,-,서울드럼페스티벌,문화예술,5.25~5.26,노들섬,대면,1999,564 ,0 ,564 ,0 ,"12,500 ","12,500 ",미집계,서울시 문화예술과,지자체,-,해당없음,서울시청,문화예술과,주무관,이지선,02-2133-2571
2,서울,-,서울뮤직페스티벌,문화예술,9.27~9.29,노들섬,대면,2019,"1,062 ",0 ,"1,062 ",0 ,"12,274 ","11,774 ",500 ,서울시 문화예술과,지자체,-,해당없음,서울시청,문화예술과,주무관,유승운,02-2133-2570
3,서울,-,서울국악축제,전통역사,9월 중,미정,대면,2019,207 ,0 ,207 ,0 ,"17,442 ","17,442 ",미집계,서울시 문화예술과,지자체,-,해당없음,서울시청,문화예술과,주무관,김수현,02-2133-2579
4,서울,-,서울페스타 2024,문화예술,5.1.~5.6.,"서울광장, 광화문광장 등 서울 전역",대면,2022,"2,115 ",0 ,"2,115 ",0 ,"392,000 ","149,670 ","242,330 ",서울관광재단,재단법인,서울특별시 서울관광재단 설립 및 운영에 관한 조례,해당없음,서울시청,관광정책과,사무관,변상우,02-2133-2810
5,서울,-,서울 바비큐 페스티벌,기타,5.4.~5.5.,노을공원,대면,2024,350 ,0 ,350 ,0 ,0 ,0 ,0 ,서울관광재단,재단법인,서울특별시 서울관광재단 설립 및 운영에 관한 조례,해당없음,서울시청,관광정책과,주무관,조세근,02-2133-2828
6,서울,-,2024 한강 불빛 공연(드론 라이트 쇼),문화예술,상반기(5~6월) 5회 / 하반기(9~10월) 5회 공연(총 10회 예정),한강공원,대면,2023,837 ,0 ,837 ,0 ,"124,360 ","124,360 ",미집계,서울관광재단,재단법인,서울특별시 서울관광재단 설립 및 운영에 관한 조례,해당없음,서울시청,관광정책과,주무관,오제윤,02-2133-1845
7,서울,-,2024년 추석 농수특산물 서울장터,특산물,9.2~9.7중 3일간 예정,서울광장,대면,2009,350 ,0 ,350 ,0 ,"205,000 ","205,000 ",,서울시,지방자치단체,,해당없음,서울시청,대외협력과,주무관,이영규,02-2133-6668
8,서울,-,한강페스티벌,"문화예술, 생태자연","봄: 5. 10.~5. 12.
여름: 7. 26.~8. 11.
가을: 10. 11.~10. 20.
겨울: 12. 20.~12. 25.",한강 수상 및 11개 한강공원 일대,대면,2013,953 ,0 ,953 ,0 ,"207,278 ","207,278 ",추산불가,해당없음,해당없음,해당없음,해당없음,서울시 미래한강본부,한강문화관광과,주무관,이혜수,02-3780-0718
9,서울,-,2024 책읽는 한강공원,문화예술,"5~6월, 9~10월 
매주 토요일","강서한강공원, 여의도한강공원",대면,2023,585 ,0 ,585 ,0 ,"246,293 ","246,293 ",미집계,해당없음,해당없음,해당없음,해당없음,서울시 미래한강본부,한강문화관광과,주무관,윤성일,02-3780-0735
10,서울,-,제18회 서울안전한마당,안전문화,05.02.~05.04.,여의도공원,대면,2007,300 ,0 ,300 ,0 ,"70,000 ","70,000 ",,소방재난본부,,,해당없음,소방재난본부,예방과,담당,안치운,02-3706-1541
11,서울,-,2024 서울세계도시문화축제,문화예술,5.25.~26,광화문광장 및 청계광장 일원,대면,1996,594 ,0 ,594 ,0 ,미집계,미집계,미집계,해당없음,해당없음,해당없음,해당없음,서울시청,국제교류과,주무관,강우원,02-2133-5266
12,서울,-,서울라이트 한강 빛섬축제 ,문화예술,10.5.~10.13.,여의도한강공원,대면,2023,"2,600 ",0 ,"2,600 ",0 ,"95,015 ","95,015 ",미집계,도시경관담당관,서울시,서울특별시 축제 육성 및 지원에 관한 조례,해당없음,서울특별시청,도시경관담당관,주무관,김백곤,02-2133-1937
13,서울,-,서울라이트 광화문,문화예술,24. 12. 20. ~ '25. 1. 12.,광화문 및 광화문광장,대면,2022,"3,674 ",0 ,"3,674 ",0 ,"1,896,426 ","1,896,426 ",미집계,도시경관담당관,서울시,서울특별시 축제 육성 및 지원에 관한 조례,해당없음,서울특별시청,도시경관담당관,주무관,안재윤,02-2133-1936
14,서울,-,차없는 잠수교 뚜벅뚜벅 축제,문화예술,5.5.~6.23./9.1.~10.27.,잠수교 및 반포한강공원 일대,대면,2022,"1,856 ",0 ,"1,856 ",0 ," 	2,000,000 ","1,890,000 ","110,000 ",해당없음,해당없음,해당없음,해당없음,서울시 미래한강본부,한강문화관광과,주무관,김보미,02-3780-0760
15,서울,-,한강서래섬유채꽃축제,생태자연,05.10.~05.19.,반포한강공원 서래섬,대면,2004,100 ,0 ,100 ,0 ,"30,000 ","30,000 ",미집계,해당없음,해당없음,해당없음,해당없음,서울시 미래한강본부,한강문화관광과,주무관,김세정,02-3780-0796
16,서울,-,한강종이비행기축제,기타,09.07.,여의도한강공원,대면,2009,50 ,0 ,50 ,0 ,"3,300 ","3,300 ",미집계,해당없음,해당없음,해당없음,해당없음,서울시 미래한강본부,한강문화관광과,주무관,김세정,02-3780-0796
17,서울,-,2024 서울대공원 벚꽃축제,생태자연,4월 초,호숫가둘레길,대면,2016,70 ,0 ,70 ,0 ,"240,000 ","240,000 ",미집계,없음,,,해당없음,서울대공원,전략기획실,주무관,임명경,02-500-7022
18,서울,-,제24회 서울대공원 장미원축제,생태자연,5.24.~6.9.,테마가든,대면,2001,80 ,0 ,80 ,0 ,"32,000 ","32,000 ",미집계,없음,,,해당없음,서울대공원,전략기획실,주무관,임명경,02-500-7022
19,서울,-,제9회 동물원 밖 동물원,문화예술,10~12월,공원 일대,대면,2016,190 ,0 ,190 ,0 ,"260,000 ","260,000 ",미집계,없음,,,해당없음,서울대공원,전략기획실,주무관,임명경,02-500-7022
20,서울,강남구,제13회 강남페스티벌,문화예술,9월중,"코엑스, 영동대로, 마루공원 등",혼합형,2012,"2,532 ",0 ,"2,532 ",0 ,"56,894 ","35,416 ","21,478 ",해당없음,해당없음,해당없음,해당없음,강남구,관광진흥과,주무관,이민정,02-3423-5534
21,서울,강남구,제5회강남디자인위크,문화예술,5.24.~5.28.,신사동 등,대면,2020,299 ,0 ,299 ,0 ,"29,710 ","29,710 ",미집계,해당없음,해당없음,해당없음,해당없음,강남구,관광진흥과,주무관,문정은,02-3423-5532
22,서울,강남구,제4회 강남 G-KPOP 콘서트,문화예술,5월중,신사 한강공원(잠원지구),대면,2021,390 ,0 ,390 ,0 ,"5,800 ","4,500 ","1,300",해당없음,해당없음,해당없음,해당없음,강남구,관광진흥과,주무관,정진호,02-3423-5542
23,서울,강동구,제29회 강동선사문화축제,전통역사,10.11.~10.13.,서울 암사동 유적 일원,대면,1996,596 ,0 ,596 ,0 ,"466,174 ","466,174 ",미집계,강동구청,기초지자체,서울특별시 강동구 선사문화축제에 관한 조례,해당없음,강동구청,문화예술과,주무관,이지우,02-3425-5247
24,서울,강북구,419혁명국민문화제,전통역사,4.12.~4.19.,강북구 일원,대면,2013,750 ,200 ,550 ,0 ,"60,000 ","60,000 ",미집계,419혁명국민문화제위원회,비영리법인,,국가보훈부,강북구청,문화관광과,주무관,구경모,02-901-6205
25,서울,강북구,천변라이프 강북페스타2024,문화예술,5.31.~6.2.,우이천 일대,대면,2023,294 ,0 ,294 ,0 ,"13,000 ","13,000 ",미집계,-,-,-,해당없음,강북구청,문화관광과,주무관,김가영,02-901-6216
26,서울,강북구 ,제2회 맥주축제,기타(시장활성화),9월중 2일간,강북구 일대,대면,2023,291 ,0 ,291 ,0 ,"43,239 ","43,239 ",미집계,-,-,-,해당없음,강북구청,지역경제과,주무관,김이진,02-901-7252
27,서울,강북구,제2회 크리스마스 마켓,기타(상권활성화),12.20~12.22,수유역 상권일대,대면,2023,192 ,0 ,192 ,0 ,"48,300 ","48,300 ",미집계,-,-,-,해당없음,강북구청,지역경제과,주무관,송형권,02-901-6456
28,서울,강북구,제2회 미아달빛시장,기타(상권활성화),10월~11월중 2일간,미아사거리역 상권일대,대면,2023,55 ,0 ,55 ,0 ,"1,600 ","1,600 ",미집계,-,-,-,해당없음,강북구청,지역경제과,주무관,유보람,02-901-6452
29,서울,광진구,제2회 광진청년문화Street페스티벌,문화예술,9월 중,능동로 일대,대면,2023,100 ,0 ,100 ,0 ,"3,800 ","3,800 ",미집계,광진구청 문화예술과,,,해당없음,광진구청,문화예술과,주무관,김명진,02-450-7596
